select|Select|CAD|CSC|Stock #|OD (in)|ID (in)|Free Length(in)|Rate (lbs/in)|Sugg. Max Defl (in)|Sugg. Max Load (lbs)|Solid Length (in)|Wire Dia. (in)|Total Coils|Material|Ends|Finish|
||B3-6|0.188|0.720|0.420|0.070|2.100|0.940|0.015|Music Wire|None|
||S-517|0.188|0.880|0.610|0.100|1.400|0.950|0.017|Stainless|None|
||470|0.188|0.940|0.320|0.070|2.700|0.940|0.015|Music Wire|Zinc|
||S-520|0.188|1.250|0.360|0.100|2.300|0.950|0.017|Stainless|None|
||165-A|0.188|1.500|0.170|0.070|5.100|0.940|0.015|Music Wire|Zinc|
||S-525|0.188|1.750|0.250|0.100|3.400|0.950|0.017|Stainless|None|
||165-B|0.188|1.880|0.130|0.070|6.700|0.940|0.015|Music Wire|Zinc|
||165-C|0.188|2.500|0.090|0.070|9.300|0.940|0.015|Music Wire|Zinc|
||M-50|0.203|1.190|0.200|0.060|4.100|0.870|0.015|Music Wire|None|
||467|0.219|0.440|1.500|0.060|0.620|0.980|0.016|Music Wire|Zinc|
||168-A|0.219|1.500|0.150|0.060|6.100|0.980|0.016|Music Wire|Zinc|
||168-B|0.219|1.880|0.110|0.060|8.000|0.980|0.016|Music Wire|Zinc|
||168-C|0.219|2.500|0.080|0.060|11.000|0.980|0.016|Music Wire|Zinc|
||80236S|0.240|0.630|1.200|0.090|0.640|0.880|0.018|Stainless|None|
||80237S|0.240|0.750|0.700|0.090|1.100|0.880|0.018|Stainless|None|
||80238S|0.240|0.880|0.480|0.090|1.600|0.880|0.018|Stainless|None|
||80239S|0.240|1.000|0.390|0.090|2.000|0.880|0.018|Stainless|None|
||80240S|0.240|1.130|0.280|0.090|2.800|0.870|0.018|Stainless|None|
||80241S|0.240|1.250|0.250|0.090|3.200|0.880|0.018|Stainless|None|
||80242S|0.240|1.380|0.200|0.090|3.900|0.870|0.018|Stainless|None|
||80243S|0.240|1.500|0.180|0.090|4.400|0.880|0.018|Stainless|None|
||80244S|0.240|1.750|0.140|0.090|5.400|0.870|0.018|Stainless|None|
||80245S|0.240|2.000|0.150|0.090|5.300|0.880|0.018|Stainless|None|
||80246S|0.240|2.250|0.110|0.090|7.100|0.870|0.018|Stainless|None|
||80247S|0.240|2.500|0.090|0.090|8.800|0.880|0.018|Stainless|None|
||80248S|0.240|2.750|0.090|0.090|9.200|0.880|0.018|Stainless|None|
||256-A|0.250|1.500|0.120|0.050|7.100|0.870|0.016|Music Wire|Zinc|
||256-B|0.250|1.880|0.080|0.050|11.000|0.870|0.016|Music Wire|Zinc|
||ZZ1-59|0.250|2.380|54.000|0.050|0.020|0.870|0.016|Music Wire|Zinc|
||256-C|0.250|2.500|0.060|0.050|15.000|0.870|0.016|Music Wire|Zinc|
||S-549|0.312|1.250|0.190|0.070|4.500|0.920|0.020|Stainless|None|
||S-553|0.312|1.750|0.110|0.070|7.400|0.920|0.020|Stainless|None|
||S-556|0.312|2.130|0.090|0.070|9.400|0.920|0.020|Stainless|None|
||80019|0.063|0.250|11.000|0.100|0.090|1.100|0.011|Music Wire|None|
||80020|0.063|0.310|7.900|0.100|0.130|1.100|0.011|Music Wire|None|
||80021|0.063|0.380|5.900|0.100|0.180|1.100|0.011|Music Wire|None|
||80022|0.063|0.440|4.800|0.100|0.220|1.100|0.011|Music Wire|None|
||80023|0.063|0.500|4.100|0.100|0.260|1.100|0.011|Music Wire|None|
||80024|0.063|0.630|3.200|0.100|0.330|1.100|0.011|Music Wire|None|
||80025|0.063|0.750|2.500|0.100|0.420|1.100|0.011|Music Wire|None|
||80040|0.094|0.380|3.200|0.100|0.300|1.100|0.012|Music Wire|None|
||ZZ4-36|0.094|0.380|5.900|0.200|0.160|1.200|0.014|Stainless|None|
||5453|0.094|0.440|2.500|0.100|0.390|1.100|0.012|Music Wire|Zinc|
||80055S|0.094|0.440|4.700|0.100|0.200|1.100|0.014|Stainless|None|
||80042|0.094|0.500|2.000|0.100|0.480|1.100|0.012|Music Wire|None|
||80056S|0.094|0.500|3.900|0.100|0.240|1.100|0.014|Stainless|None|
||80043|0.094|0.630|1.500|0.100|0.640|1.100|0.012|Music Wire|None|
||80057S|0.094|0.630|2.900|0.100|0.320|1.100|0.014|Stainless|None|
||80044|0.094|0.750|1.200|0.100|0.800|1.100|0.012|Music Wire|None|
||80058S|0.094|0.750|2.300|0.100|0.400|1.100|0.014|Stainless|None|
||80045|0.094|0.880|0.980|0.100|0.980|1.100|0.012|Music Wire|None|
||80059S|0.094|0.880|1.900|0.100|0.500|1.100|0.014|Stainless|None|
||203-B|0.094|1.000|0.750|0.100|1.300|1.100|0.012|Music Wire|Zinc|
||80060S|0.094|1.000|1.600|0.100|0.570|1.100|0.014|Stainless|None|
||80078S|0.120|0.380|6.700|0.200|0.160|1.200|0.016|Stainless|None|
||80079S|0.120|0.500|3.700|0.200|0.280|1.200|0.016|Stainless|None|
||80080S|0.120|0.630|2.600|0.200|0.400|1.200|0.016|Stainless|None|
||80081S|0.120|0.750|2.000|0.200|0.540|1.200|0.016|Stainless|None|
||80082S|0.120|0.880|1.600|0.200|0.660|1.200|0.016|Stainless|None|
||80083S|0.120|1.000|1.400|0.200|0.770|1.200|0.016|Stainless|None|
||80084S|0.120|1.130|1.100|0.200|0.920|1.200|0.016|Stainless|None|
||80085S|0.120|1.250|1.100|0.200|0.990|1.200|0.016|Stainless|None|
||80086S|0.120|1.380|0.890|0.200|1.200|1.200|0.016|Stainless|None|
||80087S|0.120|1.500|0.810|0.200|1.300|1.200|0.016|Stainless|None|
||80088S|0.120|1.750|0.710|0.200|1.500|1.200|0.016|Stainless|None|
||80089S|0.120|2.000|0.580|0.200|1.800|1.200|0.016|Stainless|None|
||A9-33|0.125|0.380|1.900|0.090|0.490|1.000|0.013|Music Wire|Zinc|
||486|0.125|0.590|0.940|0.090|0.980|1.000|0.013|Music Wire|Zinc|
||N-20|0.125|0.720|0.700|0.090|1.300|1.000|0.013|Music Wire|None|
||5065|0.125|0.750|0.710|0.090|1.300|1.000|0.013|Music Wire|Zinc|
||B3-12|0.125|0.750|0.620|0.090|1.500|1.000|0.013|Music Wire|None|
